"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Trevor Lawrence","QB","JAC","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","409","100%"
"Bo Nix","QB","DEN","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","401","100%"
"Spencer Rattler","QB","NO","100%","100%","96%","100%","94%","98%","","","","","","","","","","","","","400","98%"
"Bryce Young","QB","CAR","100%","100%","98%","81%","100%","100%","","","","","","","","","","","","","399","97%"
"Dak Prescott","QB","DAL","100%","100%","86%","100%","100%","100%","","","","","","","","","","","","","398","98%"
"Justin Herbert","QB","LAC","100%","100%","100%","100%","91%","100%","","","","","","","","","","","","","397","99%"
"Baker Mayfield","QB","TB","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","396","100%"
"Josh Allen","QB","BUF","100%","87%","100%","100%","100%","100%","","","","","","","","","","","","","394","98%"
"Patrick Mahomes II","QB","KC","100%","100%","100%","92%","100%","100%","","","","","","","","","","","","","388","98%"
"Matthew Stafford","QB","LAR","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","383","100%"
"Geno Smith","QB","LV","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","380","100%"
"Jerry Jeudy","WR","CLE","88%","88%","83%","82%","90%","89%","","","","","","","","","","","","","377","87%"
"Daniel Jones","QB","IND","100%","100%","88%","100%","89%","100%","","","","","","","","","","","","","373","96%"
"Drake Maye","QB","NE","100%","100%","100%","88%","100%","100%","","","","","","","","","","","","","372","98%"
"Cam Ward","QB","TEN","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","371","100%"
"Christian McCaffrey","RB","SF","76%","77%","91%","85%","88%","93%","","","","","","","","","","","","","368","85%"
"Cade Otton","TE","TB","86%","91%","92%","96%","92%","100%","","","","","","","","","","","","","367","93%"
"Tetairoa McMillan","WR","CAR","83%","85%","90%","94%","90%","93%","","","","","","","","","","","","","367","89%"
"Jalen Hurts","QB","PHI","100%","100%","100%","100%","100%","100%","","","","","","","","","","","","","365","100%"
"Juwan Johnson","TE","NO","99%","96%","90%","90%","85%","71%","","","","","","","","","","","","","364","89%"
"Garrett Wilson","WR","NYJ","100%","94%","100%","98%","94%","84%","","","","","","","","","","","","","364","95%"
"Trey McBride","TE","ARI","97%","91%","88%","96%","90%","90%","","","","","","","","","","","","","363","92%"
"Jared Goff","QB","DET","100%","95%","100%","93%","100%","100%","","","","","","","","","","","","","363","98%"
"Wan'Dale Robinson","WR","NYG","76%","70%","77%","97%","95%","97%","","","","","","","","","","","","","360","86%"
"Jakobi Meyers","WR","LV","94%","93%","94%","98%","88%","90%","","","","","","","","","","","","","352","93%"
