week,player_id,player,pos,team,team_name,g,snaps,targets,rec,rec_yds,air_yds,yac,td,adot,racr,wopr,target_pct,air_pct,half_ppr_pts,ppr_pts,std_pts,half_ppr_ppg,ppr_ppg,std_ppg,touches,touches_pg
3,00-0039040,De'Von Achane,RB,MIA,Dolphins,1,47,9,7,22,-5,52,0,-0.5556,-4.4,39.1,27.27,-2.59,11.9,15.4,8.4,11.9,15.4,8.4,19,19
3,00-0033040,Tyreek Hill,WR,MIA,Dolphins,1,53,10,5,49,148,13,1,14.8,0.3311,99.13,30.3,76.68,13.4,15.9,10.9,13.4,15.9,10.9,5,5
3,00-0037348,Tanner Conner,WR,MIA,Dolphins,1,26,2,1,13,7,12,0,3.5,1.8571,11.63,6.06,3.63,1.8,2.3,1.3,1.8,2.3,1.3,1,1
3,00-0040198,Ollie Gordon II,RB,MIA,Dolphins,1,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.8,9.8,9.8,9.8,9.8,9.8,9,9
3,00-0036613,Jaylen Waddle,WR,MIA,Dolphins,1,53,6,5,39,25,18,1,4.1667,1.56,36.34,18.18,12.95,12.4,14.9,9.9,12.4,14.9,9.9,5,5
3,00-0037263,Tyler Allgeier,RB,ATL,Falcons,1,6,2,1,0,-5,0,0,-2.5,0.0,6.22,4.88,-1.57,0.9,1.4,0.4,0.9,1.4,0.4,2,2
3,00-0037238,Drake London,WR,ATL,Falcons,1,57,8,5,55,101,14,0,12.625,0.5446,51.43,19.51,31.66,8.0,10.5,5.5,8.0,10.5,5.5,5,5
3,00-0034407,Ray-Ray McCloud,WR,ATL,Falcons,1,46,5,2,20,33,22,0,6.6,0.6061,25.53,12.2,10.34,3.0,4.0,2.0,3.0,4.0,2.0,2,2
3,00-0038542,Bijan Robinson,RB,ATL,Falcons,1,53,6,5,39,-4,38,0,-0.6667,-9.75,21.07,14.63,-1.25,13.6,16.1,11.1,13.6,16.1,11.1,18,18
3,00-0036139,Rico Dowdle,RB,CAR,Panthers,1,23,1,1,8,-7,15,0,-7.0,-1.1429,2.57,4.17,-5.26,10.3,10.8,9.8,10.3,10.8,9.8,11,11
3,00-0036555,Chuba Hubbard,RB,CAR,Panthers,1,36,3,2,3,13,9,0,4.3333,0.2308,25.59,12.5,9.77,8.6,9.6,7.6,8.6,9.6,7.6,19,19
3,00-0040124,Tetairoa McMillan,WR,CAR,Panthers,1,52,8,3,48,78,15,0,9.75,0.6154,91.05,33.33,58.65,6.3,7.8,4.8,6.3,7.8,4.8,3,3
3,00-0034983,Hunter Renfrow,WR,CAR,Panthers,1,17,4,2,6,23,7,0,5.75,0.2609,37.11,16.67,17.29,1.6,2.6,0.6,1.6,2.6,0.6,2,2
3,00-0038840,Brycen Tremayne,WR,CAR,Panthers,1,16,2,2,15,9,6,0,4.5,1.6667,17.24,8.33,6.77,2.5,3.5,1.5,2.5,3.5,1.5,2,2
3,00-0036309,Darnell Mooney,WR,ATL,Falcons,1,59,11,4,44,125,9,0,11.3636,0.352,67.67,26.83,39.18,6.4,8.4,4.4,6.4,8.4,4.4,4,4
3,00-0040547,Nate Carter,RB,ATL,Falcons,1,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,4.7,4.7,4.7,4.7,7,7
3,00-0033589,David Moore,WR,CAR,Panthers,1,56,1,1,5,5,0,0,5.0,1.0,8.88,4.17,3.76,1.0,1.5,0.5,1.0,1.5,0.5,1,1
3,00-0035359,David Sills,WR,ATL,Falcons,1,25,2,1,9,36,3,0,18.0,0.25,15.22,4.88,11.29,1.4,1.9,0.9,1.4,1.9,0.9,1,1
3,00-0035676,A.J. Brown,WR,PHI,Eagles,1,62,10,6,109,120,33,1,12.0,0.9083,82.68,33.33,46.69,19.9,22.9,16.9,19.9,22.9,16.9,6,6
3,00-0034844,Saquon Barkley,RB,PHI,Eagles,1,63,5,4,9,-2,9,0,-0.4,-4.5,24.46,16.67,-0.78,7.5,9.5,5.5,7.5,9.5,5.5,22,22
3,00-0037741,Jahan Dotson,WR,PHI,Eagles,1,52,3,1,7,37,2,0,12.3333,0.1892,25.08,10.0,14.4,1.2,1.7,0.7,1.2,1.7,0.7,1,1
3,00-0036912,DeVonta Smith,WR,PHI,Eagles,1,64,9,8,60,68,6,1,7.5556,0.8824,63.52,30.0,26.46,16.0,20.0,12.0,16.0,20.0,12.0,8,8
3,00-0039738,Blake Corum,RB,LA,Rams,1,16,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,5.3,5.3,5.3,5.3,8,8
3,00-0036849,Tutu Atwell,WR,LA,Rams,1,25,1,0,0,3,0,0,3.0,0.0,5.76,3.03,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0031381,Davante Adams,WR,LA,Rams,1,57,8,3,56,125,0,1,15.625,0.448,86.94,24.24,72.25,13.1,14.6,11.6,13.1,14.6,11.6,3,3
3,00-0039075,Puka Nacua,WR,LA,Rams,1,60,15,11,112,136,37,0,9.0667,0.8235,123.21,45.45,78.61,17.3,22.8,11.8,17.3,22.8,11.8,12,12
3,00-0040782,Isaiah Bond,WR,CLE,Browns,1,43,4,2,16,66,2,0,16.5,0.2424,37.92,12.5,27.39,2.6,3.6,1.6,2.6,3.6,1.6,2,2
3,00-0037267,Jerome Ford,RB,CLE,Browns,1,24,4,4,10,-5,15,0,-1.25,-2.0,17.3,12.5,-2.07,3.0,5.0,1.0,3.0,5.0,1.0,4,4
3,00-0036407,Jerry Jeudy,WR,CLE,Browns,1,55,5,1,17,90,0,0,18.0,0.1889,49.58,15.63,37.34,2.2,2.7,1.7,2.2,2.7,1.7,1,1
3,00-0040162,Dylan Sampson,RB,CLE,Browns,1,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,1,1
3,00-0038979,Cedric Tillman,WR,CLE,Browns,1,49,3,3,26,23,3,0,7.6667,1.1304,20.74,9.38,9.54,4.1,5.6,2.6,4.1,5.6,2.6,3,3
3,00-0039379,Jamari Thrash,WR,CLE,Browns,1,12,3,2,7,30,0,0,10.0,0.2333,22.78,9.38,12.45,1.7,2.7,0.7,1.7,2.7,0.7,2,2
3,00-0040667,Matthew Golden,WR,GB,Packers,1,46,4,4,52,34,18,0,8.5,1.5294,73.58,16.0,70.83,8.1,10.1,6.1,8.1,10.1,6.1,7,7
3,00-0035700,Josh Jacobs,RB,GB,Packers,1,43,9,5,44,-24,59,0,-2.6667,-1.8333,19.0,36.0,-50.0,9.9,12.4,7.4,9.9,12.4,7.4,21,21
3,00-0037816,Romeo Doubs,WR,GB,Packers,1,58,2,2,25,10,15,0,5.0,2.5,26.58,8.0,20.83,3.5,4.5,2.5,3.5,4.5,2.5,2,2
3,00-0038393,Dontayvion Wicks,WR,GB,Packers,1,44,4,2,21,23,9,0,5.75,0.913,57.54,16.0,47.92,3.1,4.1,2.1,3.1,4.1,2.1,2,2
3,00-0040009,Savion Williams,WR,GB,Packers,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,2,2
3,00-0038797,Emanuel Wilson,RB,GB,Packers,1,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,6,6
3,00-0040784,Quinshon Judkins,RB,CLE,Browns,1,36,2,1,1,7,0,0,3.5,0.1429,11.41,6.25,2.9,16.0,16.5,15.5,16.0,16.5,15.5,19,19
3,00-0040719,Bhayshul Tuten,RB,JAC,Jaguars,1,12,1,0,0,3,0,0,3.0,0.0,4.61,2.63,0.94,8.1,8.1,8.1,8.1,8.1,8.1,6,6
3,00-0040718,Travis Hunter,WR,JAC,Jaguars,1,37,2,1,21,16,18,0,8.0,1.3125,11.41,5.26,5.02,2.6,3.1,2.1,2.6,3.1,2.1,1,1
3,00-0040238,LeQuint Allen Jr.,RB,JAC,Jaguars,1,21,1,1,9,3,6,0,3.0,3.0,4.61,2.63,0.94,1.4,1.9,0.9,1.4,1.9,0.9,1,1
3,00-0036973,Travis Etienne,RB,JAC,Jaguars,1,38,2,0,0,-10,0,0,-5.0,0.0,5.7,5.26,-3.13,11.6,11.6,11.6,11.6,11.6,11.6,16,16
3,00-0036626,Dyami Brown,WR,JAC,Jaguars,1,23,3,2,7,51,2,0,17.0,0.1373,23.03,7.89,15.99,1.7,2.7,0.7,1.7,2.7,0.7,2,2
3,00-0039893,Brian Thomas Jr.,WR,JAC,Jaguars,1,57,6,2,55,64,32,0,10.6667,0.8594,37.73,15.79,20.06,6.5,7.5,5.5,6.5,7.5,5.5,2,2
3,00-0040130,Jayden Higgins,WR,HOU,Texans,1,28,1,1,5,5,0,0,5.0,1.0,5.43,2.78,1.81,1.0,1.5,0.5,1.0,1.5,0.5,1,1
3,00-0036554,Nico Collins,WR,HOU,Texans,1,54,11,8,104,139,34,1,12.6364,0.7482,81.09,30.56,50.36,20.4,24.4,16.4,20.4,24.4,16.4,8,8
3,00-0034791,Nick Chubb,RB,HOU,Texans,1,33,4,3,2,-7,4,0,-1.75,-0.2857,14.89,11.11,-2.54,5.5,7.0,4.0,5.5,7.0,4.0,12,12
3,00-0038618,Xavier Hutchinson,WR,HOU,Texans,1,39,3,3,16,9,7,0,3.0,1.7778,14.78,8.33,3.26,3.1,4.6,1.6,3.1,4.6,1.6,3,3
3,00-0040583,Woody Marks,RB,HOU,Texans,1,30,2,1,9,-1,7,0,-0.5,-9.0,8.08,5.56,-0.36,4.1,4.6,3.6,4.1,4.6,3.6,7,7
3,00-0040138,Jaylin Noel,WR,HOU,Texans,1,9,1,1,4,-4,8,0,-4.0,-1.0,3.15,2.78,-1.45,0.9,1.4,0.4,0.9,1.4,0.4,1,1
3,00-0033375,Tim Patrick,WR,JAC,Jaguars,1,22,1,1,16,3,13,0,3.0,5.3333,4.61,2.63,0.94,2.1,2.6,1.6,2.1,2.6,1.6,1,1
3,00-0038606,Parker Washington,WR,JAC,Jaguars,1,50,11,4,34,137,12,0,12.4545,0.2482,73.48,28.95,42.95,5.4,7.4,3.4,5.4,7.4,3.4,4,4
3,00-0034775,Christian Kirk,WR,HOU,Texans,1,42,8,3,25,98,20,0,12.25,0.2551,58.19,22.22,35.51,4.0,5.5,2.5,4.0,5.5,2.5,3,3
3,00-0036410,Tee Higgins,WR,CIN,Bengals,1,46,2,1,15,39,3,0,19.5,0.3846,33.55,7.69,31.45,2.0,2.5,1.5,2.0,2.5,1.5,1,1
3,00-0036900,Ja'Marr Chase,WR,CIN,Bengals,1,48,6,5,50,30,24,0,5.0,1.6667,51.55,23.08,24.19,8.4,10.9,5.9,8.4,10.9,5.9,6,6
3,00-0038597,Chase Brown,RB,CIN,Bengals,1,31,5,4,17,17,16,0,3.4,1.0,38.44,19.23,13.71,4.0,6.0,2.0,4.0,6.0,2.0,14,14
3,00-0033526,Samaje Perine,RB,CIN,Bengals,1,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,4,4
3,00-0036322,Justin Jefferson,WR,MIN,Vikings,1,48,7,5,75,49,44,0,7.0,1.5306,61.99,29.17,26.06,10.0,12.5,7.5,10.0,12.5,7.5,5,5
3,00-0037525,Jordan Mason,RB,MIN,Vikings,1,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.6,23.6,23.6,23.6,23.6,23.6,16,16
3,00-0037291,Jalen Nailor,WR,MIN,Vikings,1,50,5,3,37,64,13,0,12.8,0.5781,55.08,20.83,34.04,5.2,6.7,3.7,5.2,6.7,3.7,3,3
3,00-0030035,Adam Thielen,WR,MIN,Vikings,1,45,2,0,0,29,0,0,14.5,0.0,23.3,8.33,15.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0038839,Mitchell Tinsley,WR,CIN,Bengals,1,7,1,0,0,0,0,0,0.0,0.0,5.77,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0040154,Tai Felton,WR,MIN,Vikings,1,12,1,1,9,7,2,0,7.0,1.2857,8.86,4.17,3.72,1.4,1.9,0.9,1.4,1.9,0.9,1,1
3,00-0040208,Tahj Brooks,RB,CIN,Bengals,1,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,5,5
3,00-0036414,Cam Akers,RB,MIN,Vikings,1,7,1,0,0,-6,0,0,-6.0,0.0,4.02,4.17,-3.19,1.9,1.9,1.9,1.9,1.9,1.9,5,5
3,00-0038440,Zavier Scott,RB,MIN,Vikings,1,17,1,1,20,-6,26,0,-6.0,-3.3333,4.02,4.17,-3.19,5.5,6.0,5.0,5.5,6.0,5.0,9,9
3,00-0040734,TreVeyon Henderson,RB,NE,Patriots,1,34,3,3,19,2,17,0,0.6667,9.5,13.18,8.33,0.98,6.2,7.7,4.7,6.2,7.7,4.7,14,14
3,00-0038608,Kayshon Boutte,WR,NE,Patriots,1,56,3,2,28,28,2,0,9.3333,1.0,22.06,8.33,13.66,3.8,4.8,2.8,3.8,4.8,2.8,2,2
3,00-0036328,Antonio Gibson,RB,NE,Patriots,1,19,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.8,2.8,2.8,2.8,2.8,2.8,7,7
3,00-0038621,DeMario Douglas,WR,NE,Patriots,1,29,5,2,7,27,0,0,5.4,0.2593,30.05,13.89,13.17,1.7,2.7,0.7,1.7,2.7,0.7,2,2
3,00-0033555,Mack Hollins,WR,NE,Patriots,1,46,4,4,27,21,6,0,5.25,1.2857,23.84,11.11,10.24,4.7,6.7,2.7,4.7,6.7,2.7,4,4
3,00-0031588,Stefon Diggs,WR,NE,Patriots,1,39,3,3,23,12,11,0,4.0,1.9167,16.6,8.33,5.85,3.8,5.3,2.3,3.8,5.3,2.3,3,3
3,00-0036875,Rhamondre Stevenson,RB,NE,Patriots,1,27,3,3,38,7,31,0,2.3333,5.4286,14.89,8.33,3.41,7.1,8.6,5.6,7.1,8.6,5.6,7,7
3,00-0040131,Kyle Williams,WR,NE,Patriots,1,9,1,1,8,7,1,0,7.0,1.1429,6.56,2.78,3.41,1.3,1.8,0.8,1.3,1.8,0.8,1,1
3,00-0037837,Calvin Austin III,WR,PIT,Steelers,1,39,5,3,34,71,4,1,14.2,0.4789,78.47,22.73,63.39,10.9,12.4,9.4,10.9,12.4,9.4,3,3
3,00-0036919,Kenneth Gainwell,RB,PIT,Steelers,1,14,1,1,10,-4,14,0,-4.0,-2.5,4.32,4.55,-3.57,9.1,9.6,8.6,9.1,9.6,8.6,5,5
3,00-0035640,DK Metcalf,WR,PIT,Steelers,1,48,4,3,32,34,23,1,8.5,0.9412,48.52,18.18,30.36,10.7,12.2,9.2,10.7,12.2,9.2,3,3
3,00-0037228,Jaylen Warren,RB,PIT,Steelers,1,43,6,5,34,-20,49,0,-3.3333,-1.7,28.41,27.27,-17.86,10.6,13.1,8.1,10.6,13.1,8.1,23,23
3,00-0039751,Jordan Whittington,WR,LA,Rams,1,33,3,2,7,6,0,0,2.0,1.1667,16.06,9.09,3.47,2.4,3.4,1.4,2.4,3.4,1.4,4,4
3,00-0037840,Kyren Williams,RB,LA,Rams,1,50,3,2,18,-5,17,1,-1.6667,-3.6,11.61,9.09,-2.89,18.2,19.2,17.2,18.2,19.2,17.2,22,22
3,00-0037614,John Metchie III,WR,PHI,Eagles,1,2,1,1,8,4,4,0,4.0,2.0,6.09,3.33,1.56,1.3,1.8,0.8,1.3,1.8,0.8,1,1
3,00-0040129,Emeka Egbuka,WR,TB,Buccaneers,1,46,8,6,85,92,21,0,11.5,0.9239,69.8,28.57,38.49,11.5,14.5,8.5,11.5,14.5,8.5,6,6
3,00-0031408,Mike Evans,WR,TB,Buccaneers,1,52,8,4,33,72,6,1,9.0,0.4583,63.95,28.57,30.13,11.3,13.3,9.3,11.3,13.3,9.3,4,4
3,00-0040237,Tez Johnson,WR,TB,Buccaneers,1,21,1,0,0,41,0,0,41.0,0.0,17.37,3.57,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0039361,Bucky Irving,RB,TB,Buccaneers,1,53,4,4,33,-19,52,0,-4.75,-1.7368,15.86,14.29,-7.95,11.9,13.9,9.9,11.9,13.9,9.9,29,29
3,00-0032385,Sterling Shepard,WR,TB,Buccaneers,1,44,5,4,80,39,51,0,7.8,2.0513,38.21,17.86,16.32,10.0,12.0,8.0,10.0,12.0,8.0,4,4
3,00-0037256,Rachaad White,RB,TB,Buccaneers,1,20,1,1,2,-7,9,0,-7.0,-0.2857,3.31,3.57,-2.93,1.9,2.4,1.4,1.9,2.4,1.4,6,6
3,00-0038824,Ryan Miller,WR,TB,Buccaneers,1,18,1,0,0,21,0,0,21.0,0.0,11.51,3.57,8.79,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0038120,Breece Hall,RB,NYJ,Jets,1,38,6,4,31,12,26,0,2.0,2.5833,30.93,17.14,7.45,7.2,9.2,5.2,7.2,9.2,5.2,13,13
3,00-0039794,Braelon Allen,RB,NYJ,Jets,1,23,2,2,17,8,9,0,4.0,2.125,12.05,5.71,4.97,5.7,6.7,4.7,5.7,6.7,4.7,8,8
3,00-0036427,Tyler Johnson,WR,NYJ,Jets,1,48,3,2,32,36,18,0,12.0,0.8889,28.51,8.57,22.36,4.2,5.2,3.2,4.2,5.2,3.2,2,2
3,00-0037740,Garrett Wilson,WR,NYJ,Jets,1,69,13,10,84,75,34,1,5.7692,1.12,88.32,37.14,46.58,19.4,24.4,14.4,19.4,24.4,14.4,10,10
3,00-0040582,Arian Smith,WR,NYJ,Jets,1,54,2,2,2,1,1,0,0.5,2.0,9.01,5.71,0.62,1.2,2.2,0.2,1.2,2.2,0.2,2,2
3,00-0034521,Allen Lazard,WR,NYJ,Jets,1,17,3,2,13,12,5,1,4.0,1.0833,18.07,8.57,7.45,8.3,9.3,7.3,8.3,9.3,7.3,2,2
3,00-0040179,DJ Giddens,RB,IND,Colts,1,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,1,1
3,00-0038997,Josh Downs,WR,IND,Colts,1,29,3,2,34,47,2,0,15.6667,0.7234,36.8,12.0,26.86,4.4,5.4,3.4,4.4,5.4,3.4,2,2
3,00-0039890,Adonai Mitchell,WR,IND,Colts,1,24,2,0,0,-1,0,0,-0.5,0.0,11.6,8.0,-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,00-0037664,Alec Pierce,WR,IND,Colts,1,31,5,4,67,101,8,0,20.2,0.6634,70.4,20.0,57.71,8.7,10.7,6.7,8.7,10.7,6.7,4,4
3,00-0036252,Michael Pittman,WR,IND,Colts,1,46,6,6,73,32,41,1,5.3333,2.2813,48.8,24.0,18.29,16.3,19.3,13.3,16.3,19.3,13.3,6,6
3,00-0036223,Jonathan Taylor,RB,IND,Colts,1,45,4,3,16,-11,29,0,-2.75,-1.4545,19.6,16.0,-6.29,31.3,32.8,29.8,31.3,32.8,29.8,20,20
3,00-0037594,Julius Chestnut,RB,TEN,Titans,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,2.6,2.6,2.6,2.6,2,2
3,00-0040705,Chimere Dike,WR,TEN,Titans,1,29,4,3,2,-6,8,0,-1.5,-0.3333,15.58,11.76,-2.96,2.0,3.5,0.5,2.0,3.5,0.5,5,5
3,00-0040170,Elic Ayomanor,WR,TEN,Titans,1,52,5,4,38,39,7,1,7.8,0.9744,35.51,14.71,19.21,11.8,13.8,9.8,11.8,13.8,9.8,4,4
3,00-0032211,Tyler Lockett,WR,TEN,Titans,1,38,4,4,37,28,9,0,7.0,1.3214,27.3,11.76,13.79,5.7,7.7,3.7,5.7,7.7,3.7,4,4
3,00-0035261,Tony Pollard,RB,TEN,Titans,1,64,4,2,14,-1,11,0,-0.25,-14.0,17.3,11.76,-0.49,12.9,13.9,11.9,12.9,13.9,11.9,18,18
